BA ReferenceNumber,Ratepayer ,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Rateable value,Relief total,Relief small business rates,Mandatory Relief,Relief discretionary,Top Up Discretionary Relief,Exempt Property,Transition 2018/19,VOA description
26004669,VIAMASTER TRANSPORT LIMITED,"Altofts Lane, (Warehouses A & B), Castleford, West Yorkshire",WF10 5PZ,53.71664,-1.39711,Y,2015-04-01,380000,191301.75,,,,,,1358.25,Warehouse & Premises
0100204569,THE ACCOUNT HOLDER,"Normans Farm, Darrington Road, East Hardwick, Pontefract, West Yorkshire",WF8 3DS,53.66155,-1.29868,Y,2012-09-07,1300,1300,Yes,,,,,-130.4,Stables & Premises
0100209514,THE ACCOUNT HOLDER,"Manor Farm, Doncaster Road, East Hardwick, Pontefract, West Yorkshire",WF8 3DT,53.66035,-1.30148,Y,2012-04-01,2400,2400,Yes,,,,,-233.67,Livery Stables & Premises
0100400170,THE ACCOUNT HOLDER,"Victoria Cottage, 17 Barnsley Road, Ackworth, Pontefract, West Yorkshire",WF7 7HZ,53.64459,-1.33629,Y,2010-11-01,6900,6900,Yes,,,,,-614.39,Shop & Premises
0100400270,THE ACCOUNT HOLDER,"27 Barnsley Road, Ackworth, Pontefract, West Yorkshire",WF7 7HZ,53.64459,-1.33629,Y,2017-09-25,2500,2500,Yes,,,,,-209.92,Shop & Premises
0100400290,SKF LO (CHEMISTS) LIMITED,"29 Barnsley Road, Ackworth, Pontefract, West Yorkshire",WF7 7HZ,53.64459,-1.33629,Y,2010-04-01,10750,6566.52,,,,,,-912.71,Shop & Premises
0100407539,THE ACCOUNT HOLDER,"The Carr Bridge Pavillion, Barnsley Road, Ackworth, Pontefract, West Yorkshire",WF7 7HZ,53.64459,-1.33629,Y,2012-09-01,3250,1690,,,,,,,Pavillion & Premises
0100409000,JC POWERCO LIMITED,"Barnsley Road, Ackworth, Pontefract, West Yorkshire",WF7 7HY,53.64461,-1.33537,Y,2010-04-01,10750,10750,Yes,,,,,-1544.06,Showroom & Premises
0100409001,DRIVEAWAY MOTORS (YORKSHIRE) LIMITED,"Barnsley Road, Ackworth, Pontefract, West Yorkshire",WF7 7HT,53.64489,-1.34131,Y,2012-09-01,7000,7000,Yes,,,,,,Garage & Premises
0100409101,CO-OPERATIVE GROUP LIMITED,"Barnsley Road, Ackworth, Pontefract, West Yorkshire",WF7 7NB,53.64790,-1.33225,Y,2010-04-01,270000,136890,,,,,,,Shop & Premises
0100409102,CO-OPERATIVE BANK PLC,"Atm Site At Co-operative, Barnsley Road, Ackworth, Pontefract, West Yorkshire",WF7 7NB,53.64790,-1.33225,Y,2010-04-01,5900,3068,,,,,,,Site Of Automatic Teller Machine
0100409110,THE ACCOUNT HOLDER,"Barnsley Road, Ackworth, Pontefract, West Yorkshire",WF7 7HZ,53.64459,-1.33629,Y,2000-08-02,56500,28645.5,,,,,,,Garden Centre & Premises
0100409120,THE ACCOUNT HOLDER,"College Lane Surgery, Barnsley Road, Ackworth, Pontefract, West Yorkshire",WF7 7HZ,53.64459,-1.33629,Y,2015-04-01,53500,28812.96,,,,,,-978.09,Surgery & Premises
0100409900,ACKWORTH SERVICE STATION LIMITED,"Barnsley Road, Ackworth, Pontefract, West Yorkshire",WF7 7HY,53.64461,-1.33537,Y,2011-05-23,46250,24560.81,,,,,,,Petrol Fill' Stat' & Prem
100431236,THE ACCOUNT HOLDER,"Unit 19 C & D Langthwaite, Grange Industrial Estate, South Kirkby, Pontefract, West Yorkshire",WF9 3AP,53.58996,-1.30988,,2017-12-01,28500,16797.67,,,,,,,Workshop & Premises
100437896,SLIDE MOTORSPORT LIMITED,"Unit 19 A & B Langthwaite, Grange Industrial Estate, South Kirkby, Pontefract, West Yorkshire",WF9 3AP,53.58996,-1.30988,Y,2015-07-13,21000,11005.86,,,,,,,Workshop & Premises
0100550081,THE ACCOUNT HOLDER,"8 Bell Lane, (Ground Floor), Ackworth, Pontefract, West Yorkshire",WF7 7JA,53.64315,-1.33825,Y,2015-12-01,1350,1350,Yes,,,,,-2.3,Beauty Salon
0100550180,ALDREDS LIMITED,"8 Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JA,53.64315,-1.33825,Y,2011-01-01,4100,2629.83,,,,,,-475.71,Advertising Right
0100550251,THE ACCOUNT HOLDER,"25A Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JA,53.64315,-1.33825,,2017-10-26,3600,2233.1,,,,,,-407.9,Shop
0100550270,THE ACCOUNT HOLDER,"27 Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JD,53.64288,-1.33927,Y,2010-08-06,2175,2175,Yes,,,,,-254.81,Hairdressing Salon & Prem
0100550280,THE ACCOUNT HOLDER,"8 Bell Lane, (First Floor), Ackworth, Pontefract, West Yorkshire",WF7 7JA,53.64315,-1.33825,Y,2015-06-01,4750,4750,Yes,,,,,-888.15,Offices & Premises
0100550411,THE ACCOUNT HOLDER,"41 Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JD,53.64288,-1.33927,Y,2014-04-06,2600,2600,Yes,,,,,-286.62,Shop & Premises
0100550440,THE ACCOUNT HOLDER,"44 Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JH,53.64182,-1.34268,,1990-04-01,1525,1525,,,,,Yes,-175.26,Shop & Premises
0100550580,THE ACCOUNT HOLDER,"58 Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JN,53.64072,-1.34421,Y,2017-05-11,1875,1875,Yes,,,,,-225.6,Shop & Premises
0100550808,PHILIP & ROBERT HOWARD SOLICITORS LIMITED,"9 Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JA,53.64315,-1.33825,Y,2014-06-26,3350,2120.7,,,,,,-359.64,Offices & Premises
0100550830,MULLI LIMITED,"83 Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JJ,53.64230,-1.34075,,2014-11-03,3750,2323.75,,,,,,-422.5,Shop & Premises
0100550909,THE ACCOUNT HOLDER,"9 Bell Lane, (Basement), Ackworth, Pontefract, West Yorkshire",WF7 7JA,53.64315,-1.33825,Y,2014-06-26,1225,1225,Yes,,,,,-128.83,Physiotherapy Centre & Premises
