Property Reference Number,BA Reference Number,Ratepayer,Full Property Address,Post Code,Latitude,Longitude,Occupied,Liability Start date,Empty From,Last Rateable Value for 2017,Analysis Code of Last 2017 Val,2017 NDR - Analysis code desc,Exemptions,Exemption Start date,Relief Types,Relief Total,Relief mandatory,Relief discretionary
N00109000752,N00109000752,St Davids Poultry Team Ltd,"St Davids Poultry, Gnd Flr Office , Maxwell House, Crabtree Hall Business Centre, Little Holtby, Northallerton, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2014-04-15,,9700,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,#N/A,,
N00109001000,N00109001000,Mini Explorers Crabtree Ltd,"The Pepper Pot, Crabtree Hall Business Centre, Little Holtby, Northallerton, North Yorkshire, DL7 9NY",DL7 9NY,54.33699,-1.60212,Y,2012-09-23,,12250,EN1,Day Nursery And Premises,#N/A,#N/A,,#N/A,,
N00209000115,N00209000115,Houseman International Transport Ltd,"A Q Logistics, Leeming Lane, Ainderby Quernhow, Thirsk, YO7 9LE",YO7 9LE,,,Y,2014-07-28,,57000,CW2,Storage Depot,#N/A,#N/A,,#N/A,,
N00300100250,N00300100250,A/Steeple Vill Hall Man Comm,"A/Steeple Vill Hall Man Comm, Church View, Ainderby Steeple, Northallerton, North Yorkshire, DL7 9PT",DL7 9PT,54.32298,-1.48683,Y,1995-04-01,,2500,LC3,Hall,#N/A,#N/A,,-1046.50,,
N00300900250,N00300900250,,"Malvern, Warlaby Lane, Ainderby Steeple, Northallerton, North Yorkshire, DL7 9JX",DL7 9JX,54.32044,-1.48155,Y,2015-12-18,,2800,CX,Other Commercial,#N/A,#N/A,,-516.70,,
N00309000120,N00309000120,Sh & B Ltd,"Offices Ground And First Floor, Ainderby Hall, Ainderby Steeple, Northallerton, North Yorkshire, DL7 9QJ",DL7 9QJ,54.32362,-1.48978,Y,2017-07-28,,8100,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-3977.10,,
N00309000130,N00309000130,,"Offices First Floor, Ainderby Hall, Ainderby Steeple, Northallerton, North Yorkshire, DL7 9QJ",DL7 9QJ,54.32362,-1.48978,Y,2017-07-28,,2950,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-1448.45,,
N00309001002,N00309001002,Dmh Hydrolics Ltd,"Gf Store & Ff Office,Rhs, Low Farm Buildings, Ainderby Steeple, Northallerton, North Yorkshire, DL7 9SD",DL7 9SD,54.32639,-1.49002,Y,2015-05-01,,4150,CW3,Stores,#N/A,#N/A,,-2037.65,,
N00309001004,N00309001004,Firth And Co Wine Merchant Ltd,"Gf Store & Ff Office, Lhs, Low Farm Buildings, Ainderby Steeple, Northallerton, North Yorkshire, DL7 9SD",DL7 9SD,54.32639,-1.49002,Y,2015-10-05,,1750,CW3,Stores,#N/A,#N/A,,-859.25,,
N00309001100,N00309001100,Ainderby Solar Farm Ltd,"Solar Farm, Ainderby Steeple, Northallerton, North Yorkshire, DL7 9SD",DL7 9SD,54.32639,-1.49002,Y,2017-08-23,,27500,FE,Electricity,#N/A,#N/A,,#N/A,,
N00309001250,N00309001250,Sedgewell Barn Ltd," Sedgefield House Farm, Ainderby Steeple, Northallerton, North Yorkshire, DL7 9JY",DL7 9JY,54.31689,-1.48385,Y,2017-07-29,,810,CC3,Caravan And Pitch And Premises,#N/A,#N/A,,-397.71,,
N00309001600,N00309001600,,"The Garage, Ainderby Steeple, Northallerton, North Yorkshire, DL7 9QN",DL7 9QN,54.32335,-1.49148,Y,1995-04-01,,4300,IF3,Workshops,#N/A,#N/A,,-9.29,,
N00309001850,N00309001850,Gilpin Property Ltd,"The Wellington Heifer Inn, Ainderby Steeple, Northallerton, North Yorkshire, DL7 9PU",DL7 9PU,54.32300,-1.48739,Y,2012-06-22,,12500,CL,Public House,#N/A,#N/A,,-6300.00,,
N00309001900,N00309001900,Mobile Broadband Network Ltd,"Radio Base Station,Os Field 0022, Green Hills Lane, Ainderby Steeple, Northallerton, North Yorkshire, DL7 9JY",DL7 9JY,54.31689,-1.48385,Y,2009-01-30,,6200,MT1,Communication Station And Premises,#N/A,#N/A,,#N/A,,
N00410100136,N00410100136,,"Units 6-8 Bank Top Yard, Bedale Road, Aiskew, Bedale, North Yorkshire, DL8 1AS",DL8 1AS,54.29009,-1.58776,Y,2012-05-24,,2600,IF3,Workshops,#N/A,#N/A,,-1276.60,,
N00410100140,N00410100140,M Tinker - T/A Man Transmission,"Unit 4 Bank Top Yard, Bedale Road, Aiskew, Bedale, North Yorkshire, DL8 1BA",DL8 1BA,54.29075,-1.58570,Y,1995-04-01,,3150,IF3,Workshops,#N/A,#N/A,,-1533.95,,
N00410109000,N00410109000,The Electricity Network Co Ltd,"Independent Distribution Network Operator, Aiskew, Bedale, North Yorkshire, DL8 1AS",DL8 1AS,54.29009,-1.58776,Y,2014-04-01,,550,NX,Other Non Formula,#N/A,#N/A,,#N/A,,
N00410109010,N00410109010,,"Unit 1 Bank Top Yard, Bedale Road, Aiskew, Bedale, North Yorkshire, DL8 1BA",DL8 1BA,54.29075,-1.58570,Y,1997-02-01,,1350,CG2,Garage,#N/A,#N/A,,-662.85,,
N00410109020,N00410109020,,"Unit 2 Bank Top Yard, Bedale Road, Aiskew, Bedale, North Yorkshire, DL8 1BA",DL8 1BA,54.29075,-1.58570,Y,1995-04-01,,2100,CG1,Vehicle Repair Workshop,#N/A,#N/A,,-1031.10,,
N00410109050,N00410109050,,"Unit 5 Bank Top Yard, Bedale Road, Aiskew, Bedale, North Yorkshire, DL8 1BA",DL8 1BA,54.29075,-1.58570,Y,2018-06-01,,3800,IF3,Workshops,#N/A,#N/A,,-1865.80,,
N00410400061,N00410400061,,"Umove  At Old Hatchery, Blind Lane, Aiskew, Bedale, North Yorkshire, DL8 1BW",DL8 1BW,54.29239,-1.58050,Y,2017-04-01,,10750,IF,Factories,#N/A,#N/A,,-5278.25,,
N00410400062,N00410400062,,"Ck Priming At Old Hatchery, Blind Lane, Aiskew, Bedale, North Yorkshire, DL8 1BW",DL8 1BW,54.29239,-1.58050,Y,2017-04-01,,6200,IF,Factories,#N/A,#N/A,,-2971.03,,
N00410400063,N00410400063,,"Country Kitchens The Old Hatchery, Unit 5, Blind Lane, Aiskew, Bedale, North Yorkshire, DL8 1BW",DL8 1BW,54.29239,-1.58050,Y,2017-04-01,,8200,IF,Factories,#N/A,#N/A,,#N/A,,
N00410400064,N00410400064,,"Store At Old Hatchery, Blind Lane, Aiskew, Bedale, North Yorkshire, DL8 1BW",DL8 1BW,54.29239,-1.58050,Y,2017-04-01,,630,IF,Factories,#N/A,#N/A,,#N/A,,
N00410400065,N00410400065,,"Gs At Old Hatchery, Blind Lane, Aiskew, Bedale, North Yorkshire, DL8 1BW",DL8 1BW,54.29239,-1.58050,Y,2017-04-01,,13750,IF,Factories,#N/A,#N/A,,#N/A,,
N00410400066,N00410400066,,"Offices At Old Hatchery, Blind Lane, Aiskew, Bedale, North Yorkshire, DL8 1BW",DL8 1BW,54.29239,-1.58050,Y,2017-04-01,,4650,IF,Factories,#N/A,#N/A,,#N/A,,
N00410620900,N00410620900,Esp Electricity Ltd,"Independent Distribution Network Operator, Falcon Place, Aiskew, Bedale, North Yorkshire , DL8 1FQ",DL8 1FQ,54.29086,-1.58208,Y,2017-04-01,,240,NX,Other Non Formula,#N/A,#N/A,,#N/A,,
N00411000060,N00411000060,,"6, Rigby Terrace, Aiskew, Bedale, North Yorkshire, DL8 1DQ",DL8 1DQ,54.29538,-1.57605,Y,2005-06-27,,300,IF3,Workshops,#N/A,#N/A,,-147.30,,
N00411005001,N00411005001,James Hall & Co Ltd,"Car Showroom, 74, Bedale Road, Aiskew, Bedale, North Yorkshire, DL8 1DD",DL8 1DD,54.29376,-1.57968,Y,2013-11-28,,106000,CG,Petrol Filling Station,#N/A,#N/A,,#N/A,,
N00411005003,N00411005003,Chonka Mot And Services Ltd,"74g, Bedale Road, Aiskew, Bedale, North Yorkshire, DL8 1DD",DL8 1DD,54.29376,-1.57968,Y,2017-04-10,,10250,CG1,Vehicle Repair Workshop,#N/A,#N/A,,-5032.75,,
N00411005004,N00411005004,Masons Yorkshire Gin Ltd,"74f, Bedale Road, Aiskew, Bedale, North Yorkshire, DL8 1DD",DL8 1DD,54.29376,-1.57968,Y,2017-08-21,,22500,IF3,Workshops,DELETION,2019-04-02,,#N/A,,
N00411500050,N00411500050,,"The Bridge Gallery, The Bridge, Aiskew, Bedale, North Yorkshire, DL8 1AN",DL8 1AN,54.28978,-1.58942,Y,2016-09-30,,5600,CS,Shop And Premises,#N/A,#N/A,,-1420.93,,
N00411500070,N00411500070,,"Mawson House, The Bridge, Aiskew, Bedale, North Yorkshire, DL8 1AW",DL8 1AW,54.28825,-1.58556,Y,2010-04-01,,10750,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-23.22,,
N00419000100,N00419000100,Yorkshire Steel Buildings Ltd,"Aiskew Bank Farm, Aiskew, Bedale, North Yorkshire, DL8 1AU",DL8 1AU,54.29153,-1.58832,Y,2009-11-17,,2150,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-5.38,,
N00419000400,N00419000400,,"Aiskew Manor, Aiskew, Bedale, North Yorkshire, DL8 1BN",DL8 1BN,54.29193,-1.58280,Y,2015-04-01,,1950,CH2,Boarding House,#N/A,#N/A,,-920.37,,
N00419001001,N00419001001,,"Beckside Cottage, The Bridge, Aiskew, Bedale, North Yorkshire, DL8 1AW",DL8 1AW,54.28825,-1.58556,Y,1995-04-01,,3000,IF3,Workshops,#N/A,#N/A,,-1473.00,,
N00419001052,N00419001052,Wensleydale Railway Co.,"Station House, The Bridge, Aiskew, Bedale, DL8 1AW",DL8 1AW,54.28825,-1.58556,Y,2013-07-19,,9000,CW,Warehouses,#N/A,#N/A,,#N/A,,
N00419001053,N00419001053,Wensleydale Railway Co.,"Whistlestop Cafe Station House, The Bridge, Aiskew, Bedale, DL8 1AW",DL8 1AW,54.28825,-1.58556,N,2018-09-19,,2800,CR,Restaurants,#N/A,#N/A,,#N/A,,
N00419002460,N00419002460,,"Long Garth, 72, Bedale Road, Aiskew, Bedale, North Yorkshire, DL8 1DD",DL8 1DD,54.29376,-1.57968,Y,2005-02-01,,1450,IF3,Workshops,#N/A,#N/A,,-711.95,,
N00419003151,N00419003151,,"R/O Pencoed, Main Road, Aiskew, Bedale, North Yorkshire, DL8 1DF",DL8 1DF,54.29477,-1.57814,Y,1995-04-01,,1350,CG2S,Garage,#N/A,#N/A,,#N/A,,
N00419003701,N00419003701,,"R/O Sunnyside House, Aiskew, Bedale, North Yorkshire, DL8 1DD",DL8 1DD,54.29376,-1.57968,Y,1995-04-01,,2425,IF3,Workshops,#N/A,#N/A,,-1190.68,,
N00419004000,N00419004000,,"The Mill, Aiskew, Bedale, North Yorkshire, DL8 1AW",DL8 1AW,54.28825,-1.58556,N,2019-04-01,,1475,IF,Factories,PRESNOTICE,2019-04-01,,#N/A,,
N00419004051,N00419004051,,"Big Sheep And Little Cow Farm, The Bridge, Aiskew, Bedale, North Yorkshire, DL8 1AW",DL8 1AW,54.28825,-1.58556,Y,2018-07-26,,3900,LX,Other Leisure,#N/A,#N/A,,#N/A,,
N00419004053,N00419004053,,"Bedale Community Bakery  Aiskew Watermill, Aiskew Bank, Aiskew, Bedale, North Yorkshire, DL8 1AW",DL8 1AW,54.28825,-1.58556,Y,2018-07-26,,4900,IF3,Workshops,#N/A,#N/A,,#N/A,,
N00419004100,N00419004100,D E & S M Topham,"The Modern Store, 35, Bedale Road, Aiskew, Bedale, North Yorkshire, DL8 1BL",DL8 1BL,54.29197,-1.58403,Y,1995-04-01,,5100,IF3,Workshops,#N/A,#N/A,,-2504.10,,
N00419005011,N00419005011,Holme Design Ltd,"Units 1 & 2 The Craft Yard , Bedale Station, Bridge Street, Bedale, DL8 1TB",DL8 1TB,54.29938,-1.67630,Y,2011-05-01,,12250,IF3,Workshops,#N/A,#N/A,,#N/A,,
N00419005030,N00419005030,,"Unit 3 The Craft Yard, The Bridge, Aiskew, Bedale, DL8 1BZ",DL8 1BZ,54.28875,-1.58725,Y,2006-10-09,,2800,CW3,Stores,#N/A,#N/A,,-1374.80,,
N00419005040,N00419005040,,"Unit 4 The Craft Yard, The Bridge, Aiskew, Bedale, DL8 1BZ",DL8 1BZ,54.28875,-1.58725,Y,2017-09-01,,2450,IF3,Workshops,#N/A,#N/A,,-1202.95,,
N00419005050,N00419005050,,"Unit 5 The Craft Yard, The Bridge, Aiskew, Bedale, DL8 1BZ",DL8 1BZ,54.28875,-1.58725,Y,2018-08-01,,2550,IF3,Workshops,#N/A,#N/A,,-1252.05,,
N00419005060,N00419005060,,"Unit 6 The Craft Yard, The Bridge, Aiskew, Bedale, DL8 1BZ",DL8 1BZ,54.28875,-1.58725,Y,2012-09-01,,2800,CW3,Stores,#N/A,#N/A,,-1374.80,,
N00419005070,N00419005070,,"Unit 7 The Craft Yard, The Bridge, Aiskew, Bedale, DL8 1BZ",DL8 1BZ,54.28875,-1.58725,Y,2015-01-01,,1800,IF3,Workshops,#N/A,#N/A,,-883.80,,
N00419005080,N00419005080,Holme Design Ltd,"Unit 8 The Craft Yard, The Bridge, Aiskew, Bedale, DL8 1BZ",DL8 1BZ,54.28875,-1.58725,Y,2012-09-18,,5300,CW3,Stores,#N/A,#N/A,,#N/A,,
N00419005090,N00419005090,Elstob And Elstob Ltd,"Unit 9, The Craft Yard, The Bridge, Aiskew, Bedale, DL8 1BZ",DL8 1BZ,54.28875,-1.58725,Y,2018-12-01,,5100,CW3,Stores,#N/A,#N/A,,-2504.10,,
N00419005100,N00419005100,Harold & David Cabourn,"Unit 10 The Craft Yard, The Bridge, Aiskew, Bedale, DL8 1BZ",DL8 1BZ,54.28875,-1.58725,Y,2006-05-01,,7400,IF3,Workshops,#N/A,#N/A,,-3633.40,,
N00420100005,N00420100005,,"Tree Nursery, Ashlands Drive, Leeming Bar, Northallerton, North Yorkshire, DL7 9DF",DL7 9DF,54.30776,-1.56031,Y,2000-09-01,,2700,CX,Other Commercial,#N/A,#N/A,,-1325.70,,
N00420200121,N00420200121,Squarepeg Properties Ltd,"The Reubens, 12, Bedale Road, Leeming Bar, Northallerton, North Yorkshire, DL7 9AY",DL7 9AY,54.30422,-1.56120,N,2019-02-01,,31750,CH,Hotel,#N/A,#N/A,,#N/A,,
N00420200240,N00420200240,,"Nursery Cottage, 24, Bedale Road, Leeming Bar, Northallerton, North Yorkshire, DL7 9BG",DL7 9BG,54.30198,-1.56565,Y,1995-04-01,,13000,CX,Other Commercial,#N/A,#N/A,,-4964.55,,
N00420201130,N00420201130,,"Unit 3 Darton House, 2, Bedale Road, Leeming Bar, Northallerton, North Yorkshire, DL7 9AS",DL7 9AS,54.30482,-1.56032,Y,2008-11-12,,6900,IF3,Workshops,#N/A,#N/A,,-3387.90,,
N00420201131,N00420201131,,"Unit 3a Darton House, 2, Bedale Road, Leeming Bar, Northallerton, North Yorkshire, DL7 9AS",DL7 9AS,54.30482,-1.56032,Y,2005-01-01,,3600,IF3,Workshops,#N/A,#N/A,,-1767.60,,
N00420202125,N00420202125,Simply Dutch Ltd,"Ff Offices Darton House, 2, Bedale Road, Leeming Bar, Northallerton, DL7 9AS",DL7 9AS,54.30482,-1.56032,Y,2017-07-01,,1850,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,#N/A,,
N00420202128,N00420202128,Simply Dutch Ltd,"Simply Dutch, Bedale Road, Leeming Bar, Northallerton, DL7 9AS",DL7 9AS,54.30482,-1.56032,Y,2018-03-05,,32750,CS7,Showrooms,#N/A,#N/A,,#N/A,,
N00420202129,N00420202129,,"Tors Cafe Darton House, Bedale Road, Leeming Bar, Northallerton, DL7 9AS",DL7 9AS,54.30482,-1.56032,Y,2019-04-01,,2000,CR1,Cafes,#N/A,#N/A,,-982.00,,
N00420202200,N00420202200,Simply Dutch Ltd,"Storage Land,Rear Of Darton House, 2, Bedale Road, Leeming Bar, Northallerton, North Yorkshire, DL7 9AS",DL7 9AS,54.30482,-1.56032,Y,2017-04-01,,5800,CW1,Land Used For Storage,#N/A,#N/A,,#N/A,,
N00420750021,N00420750021,Yorkshire Industrial Building Supplies Ltd,"Yorkshire Independent Building Supplies, Plews Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, DL7 9DH",DL7 9DH,54.30520,-1.56528,Y,2002-08-01,,24250,CW,Warehouses,#N/A,#N/A,,#N/A,,
N00420750025,N00420750025,Upex Electrical Distributors (Yorkshire)Ltd,"Unit 1, The Olive Grove, Plews Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, DL7 9UG",DL7 9UG,54.30495,-1.56279,Y,2006-08-07,,14000,CW3,Stores,#N/A,#N/A,,-2291.33,,
N00420750043,N00420750043,,"Unit 3, The Olive Grove, Plews Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, DL7 9UG",DL7 9UG,54.30495,-1.56279,Y,2011-04-01,,10750,CW3,Stores,#N/A,#N/A,,-5278.25,,
N00420750044,N00420750044,Dynamic Mechanical & Electrical Services Ltd,"Unit 2, The Olive Grove, Plews Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, DL7 9UG",DL7 9UG,54.30495,-1.56279,Y,2016-12-12,,12000,CW3,Stores,#N/A,#N/A,,-5892.00,,
N00420750045,N00420750045,Speed Clad Ltd,"Unit 4, The Olive Grove, Plews Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, DL7 9UG",DL7 9UG,54.30495,-1.56279,Y,2015-04-17,,10250,CW3,Stores,#N/A,#N/A,,#N/A,,
N00420750046,N00420750046,Bwoc Ltd," , Unit 5 The Olive Grove,   , Plews Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, DL7 9UG",DL7 9UG,54.30495,-1.56279,Y,2016-08-16,,7000,CW1,Land Used For Storage,#N/A,#N/A,,#N/A,,
N00420750047,N00420750047,Temple Of Fun Ltd,"Unit 6 , The Olive Grove, Plews Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, DL7 9UG",DL7 9UG,54.30495,-1.56279,Y,2019-02-01,,21500,CW,Warehouses,#N/A,#N/A,,#N/A,,
N00420750048,N00420750048,,"Unit 7, The Olive Grove, Plews Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, DL7 9UG",DL7 9UG,54.30495,-1.56279,N,2018-10-27,,20750,CW,Warehouses,#N/A,#N/A,,#N/A,,
N00420750049,N00420750049,Exact Formations Ltd,"Unit 8, The Olive Grove, Plews Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, DL7 9UG",DL7 9UG,54.30495,-1.56279,Y,2018-12-05,,24000,IF3,Workshops,#N/A,#N/A,,#N/A,,
N00420750050,N00420750050,Holmesterne Foods Ltd,"Site D, Leeming Bar Ind Estate, Leeming Bar, Northallerton, North Yorkshire, DL7 9DQ",DL7 9DQ,54.30568,-1.56443,Y,2002-07-17,,68500,IF,Factories,#N/A,#N/A,,#N/A,,
N00420750060,N00420750060,Argrain Ltd,"Sunnyside, Leeming Bar Industrial E, Leeming Bar, Northallerton, North Yorkshire, DL7 9DH",DL7 9DH,54.30520,-1.56528,Y,1997-07-07,,85500,CW3,Stores,#N/A,#N/A,,-779.97,,
N00420750080,N00420750080,Precision Labelling Systems,"Leeming Bar Industrial Estat, Leeming Bar, Northallerton, North Yorkshire, DL7 9DQ",DL7 9DQ,54.30568,-1.56443,Y,1995-04-01,,18250,IFO,Factory And Office,#N/A,#N/A,,#N/A,,
N00420750100,N00420750100,,"Lifetime Home Improvements, Leeming Bar Ind Estate, Leeming Bar, Northallerton, North Yorkshire, DL7 9UJ",DL7 9UJ,54.30638,-1.56716,N,2019-01-25,,26750,IF,Factories,#N/A,#N/A,,#N/A,,
N00420750110,N00420750110,Vale Of Mowbray Bacon Co Ltd,"Leeming Bar Industrial Est, Leeming Bar, Northallerton, North Yorkshire, DL7 9UJ",DL7 9UJ,54.30638,-1.56716,Y,1995-04-01,,51500,IF,Factories,#N/A,#N/A,,#N/A,,
N00420750174,N00420750174,Vale Of Mowbray Bacon Co Ltd,"Industrial Estate, Leeming Bar, Northallerton, North Yorkshire, DL7 9DQ",DL7 9DQ,54.30568,-1.56443,Y,1995-04-01,,38250,IF,Factories,#N/A,#N/A,,#N/A,,
N00420750175,N00420750175,Sarnia Foods Ltd,"Unit 1, Plews Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, DL7 9UL",DL7 9UL,54.30572,-1.56390,Y,2017-05-05,,70000,CW,Warehouses,#N/A,#N/A,,#N/A,,
N00420750184,N00420750184,Anglo Beef Processors,"Wessex House, Plews Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, DL7 9UL",DL7 9UL,54.30572,-1.56390,Y,2012-04-01,,307500,IF,Factories,#N/A,#N/A,,#N/A,,
N00420750197,N00420750197,Alverton Press Ltd,"Units 1 & 2, Portland Way, Leeming Bar Ind Estate, Leeming Bar, Northallerton, North Yorkshire, DL7 9UH",DL7 9UH,54.30662,-1.56514,Y,2011-06-29,,17750,IF3,Workshops,#N/A,#N/A,,#N/A,,
N00420750201,N00420750201,,"Rjb, Tutin Road, Leeming Bar Ind Estate, Northallerton, North Yorkshire, DL7 9UJ",DL7 9UJ,54.30638,-1.56716,Y,2009-11-01,,4400,CW,Warehouses,#N/A,#N/A,,-2160.40,,
N00420750202,N00420750202,R & J Bearings,"R J Bearings, Tutin Road, Leeming Bar Ind Estate, Northallerton, North Yorkshire, DL7 9UJ",DL7 9UJ,54.30638,-1.56716,Y,2005-04-01,,5300,CW,Warehouses,#N/A,#N/A,,-2602.30,,
N00420750203,N00420750203,,"Greg Lambert Engineering, Tutin Road, Leeming Bar Ind Estate, Northallerton, North Yorkshire, DL7 9UJ",DL7 9UJ,54.30638,-1.56716,Y,2011-04-01,,6100,CW,Warehouses,#N/A,#N/A,,-2995.10,,
N00420750204,N00420750204,R J Engineering,"R J Engineering, Tutin Road, Leeming Bar Ind Estate, Northallerton, North Yorkshire, DL7 9UJ",DL7 9UJ,54.30638,-1.56716,Y,2006-11-23,,4400,IF3,Workshops,#N/A,#N/A,,-2160.40,,
