Property reference number,BA reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Empty from,Rateable value,VOA code,VOA description,Exemptions,Exemption start date,Relief types,Relief total,Relief mandatory,Relief discretionary
101061450575,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Reighton, Filey, North Yorkshire, YO14 9RU",YO14 9RU,54.15507,-0.26927,Y,1990-04-01,,7700,NW,Sewage Treatment Works & Premises,,,,,,
102009050600,,W B Ellison & Son (Hunmanby) Ltd,"36, Bridlington Street, Hunmanby, Filey, North Yorkshire, YO14 0JR",YO14 0JR,54.18014,-0.32157,Y,1990-04-01,,6300,CS,Shops,,,Small Business Relief England,,,
102025500500,,Yorkshire Water Services Ltd,"Sewage Disposal Works, 1, Filey Road, Hunmanby, Filey, North Yorkshire, YO14 0QD",YO14 0QD,54.18466,-0.3067,Y,1990-04-01,,27000,NW,Sewage Treatment Works & Premises,,,,,,
103015300510,,Emj Plastics Ltd,"Emj Plastics Ltd, Clarence Drive, Filey, North Yorkshire, YO14 0AA",YO14 0AA,54.20912,-0.29394,Y,1990-04-01,,57500,IF,Factories,,,Revaluation 2017 Discretionary Year 3,,,
103038750560,,Filey Travel Agency Ltd,"18, John Street, Filey, North Yorkshire, YO14 9DQ",YO14 9DQ,54.20875,-0.28729,Y,1990-04-01,,5900,CS,Shops,,,Small Business Relief England,,,
103050500595,,Boots Uk Ltd,"32 - 34, Murray Street, Filey, North Yorkshire, YO14 9DG",YO14 9DG,54.20916,-0.28801,Y,1990-04-01,,13500,CS,Shops,,,,,,
103066400545,,Clear Channel Uk Ltd,"Advertising Right (Adshel 3906 0010), Scarborough Road, Filey, North Yorkshire, YO14 9NQ",YO14 9NQ,54.21457,-0.30019,Y,1990-04-01,,450,CA,Advertising Right,,,,,,
103066400550,,Clear Channel Uk Ltd,"Advertising Right (Adshel 3906 0009), Scarborough Road, Filey, North Yorkshire, YO14 9NQ",YO14 9NQ,54.21457,-0.30019,Y,1990-04-01,,450,CA,Advertising Right,,,,,,
103067300500,,Wrights Seadale Caravan Camp Ltd,"Seadale Camping Ground, Seadale Camping Ground, Filey, North Yorkshire, YO14 0BB",YO14 0BB,54.20395,-0.29342,Y,1990-04-01,,64500,CC1,Caravan Site,,,Revaluation 2017 Discretionary Year 3,,,
103085450510,,Edwin Jenkinson Ltd,"12a, West Road, Filey, North Yorkshire, YO14 9LP",YO14 9LP,54.21175,-0.29199,Y,1990-04-01,,5900,CW,Warehouses,,,,,,
