Property reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Liability start date,Current Analysis Code Description,Rateable value,Current Relief Type,Current Relief Type Description,Current Relief Award Start Date,Current Relief Award End Date,Current Property Exemption Code,Current Prop Exemption Description,Current Prop Exemption Start Date,Current Prop Exemption End Date
14910100015N,A Tattersall Ltd,"Unit 13, Cliffe End Business Park, Dale Street, Longwood Huddersfield, HD3 4TG",HD3 4TG,53.64439,-1.83245,1990-04-01,Workshops,3350,SBRE,Small Business Relief England,2005-04-01,,,,,
04940003950N,A To Z Minimarket Ltd,"395, Blackmoorfoot Road, Crosland Moor, Huddersfield, HD4 5QU",HD4 5QU,53.63474,-1.81529,2007-07-06,Shops,15000,SBRE,Small Business Relief England,2007-07-06,,,,,
37650300045N,A To Z Motor Spares (Dewsbury) Limited,"Unit 4a, Bridge Ind. Estate, Mill Street East, Savile Town, Dewsbury, WF12 9BQ",WF12 9BQ,53.68173,-1.62304,2009-02-16,Workshops,27250,,,,,,,,
37650000170N,A W Lumb & Co Ltd,"_, Mill Street East, Savile Town, Dewsbury, WF12 9BE",WF12 9BE,53.68338,-1.62353,2006-12-02,Other Industrial,134000,,,,,,,,
33660001100N,A W M F Ltd,"_, Lock Street, Savile Town, Dewsbury, WF12 9BZ",WF12 9BZ,53.67463,-1.62251,2001-11-01,Other Industrial,18250,,,,,,,,
32440000740N,,"74, Lee Green, Mirfield, WF14 0AG",WF14 0AG,53.68412,-1.68923,1990-04-01,Shops,9700,SBRE,Small Business Relief England,2005-04-01,,,,,
00970400200N,A. Hak Pipelines & Facilities Uk Limited,"Unit 18, S1 & S2 Brookes Mill, Armitage Road, Armitage Bridge , Huddersfield, HD4 7NR",HD4 7NR,53.61830,-1.79890,2015-08-01,Workshops,6100,SBRE,Small Business Relief England,2015-08-01,,,,,
38950100010N,,"Rear Of 9, 11a, Mortimer Street, Cleckheaton, BD19 5AR",BD19 5AR,53.72266,-1.71353,1991-05-02,Workshops,10500,SBRE,Small Business Relief England,2005-04-01,,,,,
34380100010N,A.M.B Environmental Services Ltd,"Unit 1a, Low Mills, Low Mill Lane, Ravensthorpe, Dewsbury, WF13 3LX",WF13 3LX,53.67424,-1.67076,2018-08-01,Workshops,7400,SBRE,Small Business Relief England,2018-09-01,,,,,
36290000342N,A.Y.Z.I Estates Ltd. T/A Hunters,"34, Market Place, Dewsbury, WF13 1AE",WF13 1AE,53.69207,-1.62875,2015-07-20,Shops,10250,SBRE,Small Business Relief England,2015-07-20,,,,,
71270100183N,A0 Print Solutions Ltd,"Unit18, Brockholes Industrial Estate, Rock Mill Road, Brockholes, Holmfirth, HD9 7BN",HD9 7BN,53.59388,-1.77258,2014-03-17,Warehouses,4300,SBRE,Small Business Relief England,2014-03-17,,,,,
35700004000N,A1 Auto Services Ltd,"400, Manchester Road, Huddersfield, HD4 5BW",HD4 5BW,53.63921,-1.81283,1990-04-01,Vehicle Repair Workshop,7200,SBRE,Small Business Relief England,2005-04-01,,,,,
04890000039N,A2z Plumbing & Diy Ltd,"39c, Blacker Road, Birkby, Huddersfield, HD1 5HU",HD1 5HU,53.65850,-1.78898,2014-04-01,Shops,17750,,,,,,,,
10980001692N,A2z Plumbing & Lighting Limited,"169 , Church Street, Paddock, Huddersfield, HD1 4UJ",HD1 4UJ,53.64305,-1.81052,2011-10-13,Shops,9400,SBRE,Small Business Relief England,2011-10-13,,,,,
