Property reference number,BA reference number,Address,Postcode,Latitude,Longitude,Liability start date,Rateable value,VOA code,VOA description
N01000109013,,"Offices At, Harrogate High School, Ainsty Road, Harrogate, North Yorkshire, HG1 4AP",HG1 4AP,54.00128,-1.52253,2017-12-23,7700,CO,Offices and Premises
N01000109015,,"New Harrogate High School, Ainsty Road, Harrogate, North Yorkshire, HG1 4AP",HG1 4AP,54.00128,-1.52253,2017-02-27,302500,EL,School and Premises
N01000109020,100052209498,"St Roberts School, Ainsty Road, Harrogate, North Yorkshire, HG1 4AP",HG1 4AP,54.00128,-1.52253,1995-04-01,36250,EL,SCHOOL AND PREMISES
N01000109021,,"Sunbeams Day Nursery, St Roberts School, Ainsty Road, Harrogate, North Yorkshire, HG1 4AP",HG1 4AP,54.00128,-1.52253,2007-10-01,35500,EN1,Day nursery and premises
N01000109060,010003028443,"Nycc Pupil & Parent, Harrogate Granby High School, Ainsty Road, Harrogate, North Yorkshire, HG1 4AP",HG1 4AP,54.00128,-1.52253,1995-02-01,38500,CO,OFFICES AND PREMISES
N01000109072,010003597041,"Granby Hockey Centre, Ainsty Road, Harrogate, North Yorkshire, HG1 4AP",HG1 4AP,54.00128,-1.52253,1999-10-01,22750,LS,SPORTS GROUND AND PREMISES
N01000600011,,"Unit 1, Westgate House, Station Parade, Harrogate, North Yorkshire, HG1 1HQ",HG1 1HQ,53.99,-1.53703,2018-07-19,87500,CR,RESTAURANT AND PREMISES
N01000600012,,"Unit 2, Westgate House, Station Parade, Harrogate, North Yorkshire, HG1 1HQ",HG1 1HQ,53.99,-1.53703,2016-05-30,34250,CR,RESTAURANT AND PREMISES
N01000600021,100052003563,"2a, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,2018-08-31,7400,CS,SHOP AND PREMISES
N01000600022,100052003562,"2b, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,2015-09-29,11750,CS,SHOP AND PREMISES
N01000600027,010034599547,"The Cats Pyjamas Limited, 2/4, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,2018-10-05,47750,CR,RESTAURANT AND PREMISES
N01000600042,100052003188,"4, Albert Street, Harrogate, North Yorkshire, HG1 1JL",HG1 1JL,53.99182,-1.53901,1997-02-14,32750,CS,SHOP AND PREMISES
N01000600054,,"Unit 4, Westgate House, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2016-05-13,51500,CR,RESTAURANT AND PREMISES
N01000600055,,"Unit 5, Westgate House, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2018-01-26,66500,LX,Fitness Centre and Premises
N01000600056,,"Unit 6, Westgate House, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2018-03-30,78500,CR,RESTAURANT AND PREMISES
N01000600057,,"Unit 7, Westgate House, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2016-05-26,109000,CR,RESTAURANT AND PREMISES
N01000600058,,"Unit 8, Westgate House, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2016-06-27,75500,CR,Restaurant and Premises
N01000600059,,"Unit 9, Westgate House, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2018-09-02,42750,CS3,BEAUTY SALON AND PREMISES
N01000600061,100052183536,"6a, Albert Street, Harrogate, North Yorkshire, HG1 1JL",HG1 1JL,53.99182,-1.53901,2014-04-01,22000,CX,SALES ROOM AND PREMISES
