Property Reference Number,Ratepayer,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Rateable value,VOA code,VOA description,Exemptions,Exemption Start Date, Type,Relief total,Relief mandatory,Relief discretionary
00220534550009,Hh No. 3 Ltd,"Barratt Show Home, 9, Shire Green, Carlton, Goole, DN14 9FR",DN14 9FR,53.712241,-1.02069,Y,2019-02-21,21000,CX,Other Commercial,,,,,,
0043049720000N,,"The Studio At Bloomin, Main Street, Great Heck, Goole, DN14 0BQ",DN14 0BQ,53.68212,-1.10931,Y,2018-08-23,1625,CO,Office And Premises,,,Small Business Rate,-472.27,,
0069037850000X,,"The Annexe Holiday Cottage, Bishopdyke Road, Sherburn In Elmet, Leeds, LS25 6HP",LS25 6HP,53.79425,-1.18198,Y,2018-10-22,2125,CH1,Self Catering Holiday Unit And Premises,,,Small Business Rate,-449.92,,
N0002099905160A,,"Hales Hill Farm Caravan Site, Back Lane, Acaster Selby, York, YO23 7BP",YO23 7BP,53.8633,-1.129428,Y,1990-04-01,11192,CC1,Caravan Site,,,Small Business Rate,-1653.00,,
N00020999051610,,"Priory Farm Cattery, Back Lane, Acaster Selby, York, YO23 7BP",YO23 7BP,53.8633,-1.129428,Y,2000-04-01,2800,CX,Other Commercial,,,Small Business Rate,-551.00,,
N00020999052316,Naburn Grange Ski Club,"Hales Hill Farm Landing, Back Lane, Acaster Selby, York, YO23 7BP",YO23 7BP,53.8633,-1.129428,Y,1990-04-01,2850,NT1,Mooring And Premises,,,Small Business Rate,-1368.00,,
N00030005050606,,"Acaster Carpets, Brockett Industrial Estate, The Airfield, Acaster Malbis, York, YO23 2PY",YO23 2PY,53.889536,-1.121899,Y,2005-08-01,9900,CW,Warehouse And Premises,,,Small Business Rate,-2927.19,,
N00030006050017,Transport Fabrications Ltd,"Transport Fabrications Limited Unit 1, Appleton Road, Appleton Roebuck, York, YO23 2UZ",YO23 2UZ,53.892308,-1.124869,Y,2013-10-01,8800,IF3,Workshop And Premises,,,Small Business Rate,-4224.00,,
N00030006050026,Calldon Ltd,"Calldon Ltd Units 2 & 3, Appleton Road, Appleton Roebuck, York, YO23 2UZ",YO23 2UZ,53.892308,-1.124869,Y,2013-10-01,7300,IF3,Workshop And Premises,,,Small Business Rate,-3156.77,,
N0003003505010A,,"Bridge Service Station, Chapel Green, Appleton Roebuck, York, YO23 7DP",YO23 7DP,53.876074,-1.156086,Y,1990-04-01,6100,CG1,Vehicle Repair Workshop And Premises,,,Rural Mandatory; Top Up Rural,-2547.32,-1273.66,-1273.66
N00030035050203,Samuel Smith Old Brewery (Tadcaster) Ltd,"Shoulder Of Mutton Inn, Chapel Green, Appleton Roebuck, York, YO23 7DP",YO23 7DP,53.876074,-1.156086,Y,1990-04-01,12900,CL,Public House And Premises,,,,,,
