ONS code	Header
E08000035	Property reference number,BA reference number ,Ratepayer,Address,Postcode,Latitude,Longitude,Occupied,Liability Start Date,Empty From,Rateable Value (£),VOA Code,VOA Description,Exempt From,Exemption Type,Mandatory Relief (£),Discretionary Relief (£),Local Discount (£),Small Business Rate Relief (£),,Total Relief (£)
E07000164	Property Reference Number,BA Reference Number,Ratepayer,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Empty from,Rateable value,VOA code,VOA description,Exemptions,Exemption Start date,Relief Types,Relief total,Relief mandatory,Relief discretionary
E07000168	Property reference number,BA reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Empty from,Rateable value,VOA code,VOA description,Exemptions,Exemption start date,Relief types,Relief total,Relief mandatory,Relief discretionary
E08000032	Property reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Property start date,Rateable value,VOA code,VOA description,Liability start date,Occupied,Exemptions,Exemptions start date,Mandatory Reliefs,Mandatory Relief Start Date,Pub Relief,Additional Relief,Revaluation Relief,Supporting Small Business Relief
E08000033	Property reference number,Address,Postcode,Latitude,Longitude,Ratepayer,Rateable value,VOA description,Liability start date,Reliefs granted,Relief discretionary,Discretionary Relief St Date,Relief mandatory,Mandatory Relief Start Date,Exemptions,Exemptions start date,Occupied,Empty from,Full Sbr,Buffer Sbr,Lower Multiplier
E07000169	Property Reference Number,Ratepayer,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Rateable value,VOA code,VOA description,Exemptions,Exemption Start Date, Type,Relief total,Relief mandatory,Relief discretionary
E08000036	BA ReferenceNumber,Ratepayer ,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Rateable value,Relief total,Relief small business rates,Mandatory Relief,Relief discretionary,Top Up Discretionary Relief,Exempt Property,Transition 2018/19,VOA description
E07000165	Property reference number,BA reference number,Address,Postcode,Latitude,Longitude,Liability start date,Rateable value,VOA code,VOA description
E08000034	Property reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Liability start date,Current Analysis Code Description,Rateable value,Current Relief Type,Current Relief Type Description,Current Relief Award Start Date,Current Relief Award End Date,Current Property Exemption Code,Current Prop Exemption Description,Current Prop Exemption Start Date,Current Prop Exemption End Date
E09000007	Property Reference,Charge Type,Gross Charge,Supplement,Small Business Relief,Charity Relief,Exemption Relief,Discretionary Relief,Additional Relief,Supporting Small Business Relief,Start Date,End Date,Company Name,Address,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Last Uploaded,Organisation URI,Socrata ID,:@computed_region_hxwp_gyfc,:@computed_region_6i9a_26nj
